station_name,station_latitude,station_longitude
"Cotton Garden Estate, Kennington",51.4907514,-0.1062222
"Borough High Street, The Borough",51.50405885,-0.0910153802
"Wynne Road, Stockwell",51.46917008,-0.1131922451
"Pancras Road, King's Cross",51.53095152,-0.1248901604
"Eaton Square (South), Belgravia",51.4945798,-0.1539044
"St. George Street, Mayfair",51.51314438,-0.1434859284
"Aldersgate Street, Barbican",51.5208657,-0.09752560127
"Jubilee Gardens, South Bank",51.50393985,-0.1181769384
"Bedford Way, Bloomsbury",51.52322047,-0.1277528807
"Crawford Street, Marylebone",51.51952963,-0.1609915346
"The Guildhall, Guildhall",51.51529295,-0.09123114273
"Saltoun Road, Brixton",51.46079025,-0.1122003478
"Brook Green South, Brook Green",51.4942495,-0.2156518
"Albert Bridge Road, Battersea Park",51.473973,-0.16311
"Surrey Lane, Battersea",51.47498401,-0.1694297151
"Twig Folly Bridge, Mile End",51.5303024,-0.0427928
"Wells Street, Fitzrovia",51.51766473,-0.138516325
"Orsett Terrace, Bayswater",51.51747844,-0.1852870436
"Frith Street, Soho",51.51365702,-0.1315181416
"Finsbury Leisure Centre, St. Luke's",51.52603035,-0.09514060408
"Snow Hill, Farringdon",51.5180324,-0.1053424
"King Edward Street, St Pauls",51.516,-0.098598
"Neville Gill Close, Wandsworth",51.4549723,-0.1952557417
"Finsbury Library , Finsbury",51.5648345,-0.1064144
"Palace Gardens Terrace, Notting Hill",51.5097144,-0.1933535
"Mostyn Grove, Bow",51.5307608,-0.0256743101
"Gloucester Street, Pimlico",51.48837577,-0.1424021902
"Millharbour, Millwall",51.49766301,-0.01898485884
"Vereker Road, West Kensington",51.48837395,-0.208596857
"Harrington Square 2, Camden Town",51.53254901,-0.138933264
"Gas Holders, Battersea Park",51.479248,-0.142765
"Maplin Street, Mile End",51.5248325,-0.03259585
"Warwick Row, Westminster",51.49826755,-0.14291405
"Victoria Rise, Clapham Common",51.4613702,-0.1478956
"Brandon Street, Walworth",51.48984369,-0.09205281608
One London,51.5034702,-0.1517067598
"Exhibition Road, South Kensington",51.49796685,-0.1741755972
"Baylis Road, Waterloo",51.50078511,-0.1107215294
"Craven Street, Strand",51.507482,-0.12486
"Cleveland Way, Stepney",51.52146641,-0.05249699353
"Vincent Street, Pimlico",51.49299297,-0.130621903
"Grafton Street, Mayfair",51.50986378,-0.1436592769
"Mexfield Road, East Putney",51.458139,-0.202926
Snowsfields Bridge,51.509648,-0.099076
"Black Prince Road, Vauxhall",51.49244388,-0.1217273541
"Theobald's Road , Holborn",51.52054621,-0.1170876921
"Harper Road, The Borough",51.49827774,-0.09557010908
"Westbridge Road, Battersea",51.47621768,-0.1715183604
"Guildhouse Street, Victoria",51.49267619,-0.1418200483
"Kennington Oval, Oval",51.48210305,-0.111732685
"Queen Mary's, Mile End",51.5224996,-0.04138215
"Curzon Street, Mayfair",51.507268,-0.1456711196
"Frampton Street, Paddington",51.525287,-0.1723138013
"Queensbridge Road, Haggerston",51.54130904,-0.07003178385
"Victory Place, Walworth",51.49279801,-0.09185523049
"Smugglers Way, Wandsworth",51.46152883,-0.1921731646
"Ashley Crescent, Battersea",51.46727133,-0.1516353467
"Devonshire Terrace, Bayswater",51.51401478,-0.1802964112
"Hop Exchange, The Borough",51.5046269,-0.09169725
"Exhibition Road Museums, Knightsbridge",51.500209,-0.167264
"The Tennis Courts, The Regent's Park",53.262659,-1.916623
"Gunmakers Lane, Old Ford",51.53543825,-0.033886783
"Millennium Hotel, Mayfair",51.5109351,-0.1512467
"Old Ford Road, Bethnal Green",51.53079201,-0.05033731129
"Culvert Road, Battersea",51.47192438,-0.1594335232
"Doddington Grove, Kennington",51.485821,-0.112331
"Chadwell Street, Angel",51.53035341,-0.1070674148
"Godliman Street, St. Paul's",51.51256663,-0.09908602016
"Broadwick Street, Soho",51.51362073,-0.1356763037
"Southwark Station 1, Southwark",51.5040138,-0.1052512
"Belgrave Road, Victoria",51.49315169,-0.1442142851
"Alfred Place, Bloomsbury",51.52004741,-0.132828353
"Pitfield Street Central, Hoxton",51.5321146,-0.0830504
"Abingdon Villas, Kensington",51.49787451,-0.1951780305
"Langdon Park, Poplar",51.5152051,-0.0141164
"Oval Way, Vauxhall",51.48586857,-0.1166731896
